product_id,description,top_k_predictions,ground_truth
21,3 S&D PVC Straight Tee H x H x H,"[{'rank': 1, 'commodity_code': 40174608, 'commodity_name': 'PVC plastic pipe tee', 'score': 1.1221320629119873, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 31201532, 'commodity_name': 'Polyvinyl chloride PVC tape', 'score': 0.6610517501831055, 'segment': 'Manufacturing Components and Supplies', 'family': 'Adhesives and sealants', 'class': 'Tape', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 13102030, 'commodity_name': 'Polyvinyl Chloride PVC', 'score': 0.6514384746551514, 'segment': 'Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials', 'family': 'Rubber and elastomers', 'class': 'Thermoplastic plastics', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40174609, 'commodity_name': 'CPVC plastic pipe tee', 'score': 0.5834718942642212, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40174611, 'commodity_name': 'HDPE plastic pipe tee', 'score': 0.5080673694610596, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40174602, 'commodity_name': 'Carbon steel pipe tee', 'score': 0.5028176307678223, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 12141902, 'commodity_name': 'Hydrogen H', 'score': 0.4498760402202606, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Non metals and pure and elemental gases', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 40174607, 'commodity_name': 'Stainless steel pipe tee', 'score': 0.4313029646873474, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40174605, 'commodity_name': 'Forged steel pipe tee', 'score': 0.43069228529930115, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40174613, 'commodity_name': 'Galvanized iron pipe tee', 'score': 0.4030260145664215, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe tees', 'in_hierarchy': True}]",PVC plastic pipe tee
22,NORTEK C7BHMX48CC 4 TON R-410A TXV CASED EVAPORATOR COIL HORIZONTAL MICRO-CHANNEL 21IN WIDTH,"[{'rank': 1, 'commodity_code': 71121113, 'commodity_name': 'Horizontal isolation oilfield services', 'score': 0.6426361799240112, 'segment': 'Mining and oil and gas services', 'family': 'Well drilling and construction services', 'class': 'Coiled tubing services', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 30265103, 'commodity_name': 'Aluminum SAE 3000 series hot rolled coil', 'score': 0.4807473421096802, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 30265105, 'commodity_name': 'Aluminum SAE 5000 series hot rolled coil', 'score': 0.4768855571746826, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 30265104, 'commodity_name': 'Aluminum SAE 4000 series hot rolled coil', 'score': 0.4652358889579773, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 26101776, 'commodity_name': 'Immobilizer coil', 'score': 0.42614901065826416, 'segment': 'Power Generation and Distribution Machinery and Accessories', 'family': 'Power sources', 'class': 'Engine components and accessories', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 30265106, 'commodity_name': 'Aluminum SAE 6000 series hot rolled coil', 'score': 0.4145798683166504, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 30265101, 'commodity_name': 'Aluminum SAE 1000 series hot rolled coil', 'score': 0.4019726514816284, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 32121706, 'commodity_name': 'Resistor or capacitor R/C networks', 'score': 0.36740297079086304, 'segment': 'Electronic Components and Supplies', 'family': 'Passive discrete components', 'class': 'Discrete components', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 30265102, 'commodity_name': 'Aluminum SAE 2000 series hot rolled coil', 'score': 0.3609958291053772, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Aluminum coil', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 71112001, 'commodity_name': 'Cased hole formation sampling testing services', 'score': 0.3182595670223236, 'segment': 'Mining and oil and gas services', 'family': 'Oil and gas exploration services', 'class': 'Cased hole well logging services', 'in_hierarchy': False}]",Cooling coil
23,922252P 4 S&D PVC Fitting Cleanout Adapter SPG x FPT,"[{'rank': 1, 'commodity_code': 40171708, 'commodity_name': 'PVC plastic pipe adapter', 'score': 1.2100000381469727, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe adapters', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40172508, 'commodity_name': 'PVC plastic pipe connector', 'score': 0.7851198315620422, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 40173508, 'commodity_name': 'PVC plastic pipe plug', 'score': 0.7349454164505005, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe plugs', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40172608, 'commodity_name': 'PVC plastic pipe coupling', 'score': 0.6513732671737671, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe couplings', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40183002, 'commodity_name': 'PVC plastic tubing', 'score': 0.6023285388946533, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Tubes tubing and tube fittings', 'class': 'Rubber and plastic tubing', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40174708, 'commodity_name': 'PVC plastic pipe threaded flange', 'score': 0.595757246017456, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe threaded flanges', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40174008, 'commodity_name': 'PVC pipe slipon flange', 'score': 0.5890636444091797, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe slipon flanges', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40173608, 'commodity_name': 'PVC plastic pipe reducing coupling', 'score': 0.5733709335327148, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing couplings', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40174104, 'commodity_name': 'PVC plastic pipe socketweld flange', 'score': 0.5642213225364685, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe socketweld flanges', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40173707, 'commodity_name': 'PVC plastic pipe reducing flange', 'score': 0.5561227202415466, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing flanges', 'in_hierarchy': True}]",PVC plastic pipe adapter
24,"HC 6TLC6 6X6"" CHIMNEY PIPE","[{'rank': 1, 'commodity_code': 40101837, 'commodity_name': 'Chimney', 'score': 0.986686110496521, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Heating equipment and parts and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 76111603, 'commodity_name': 'Chimney cleaning', 'score': 0.7110671997070312, 'segment': 'Industrial Cleaning Services', 'family': 'Cleaning and janitorial services', 'class': 'Building component cleaning services', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 40172517, 'commodity_name': 'Polypropylene pipe connector', 'score': 0.6033474206924438, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40172516, 'commodity_name': 'Polyethylene pipe connector', 'score': 0.5787938833236694, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe connectors', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 72151904, 'commodity_name': 'Chimney construction and maintenance service', 'score': 0.5084791779518127, 'segment': 'Building and Facility Construction and Maintenance Services', 'family': 'Specialized trade construction and maintenance services', 'class': 'Masonry and stonework services', 'in_hierarchy': False}, {'rank': 6, 'commodity_code': 31311203, 'commodity_name': 'Hastalloy X riveted pipe assemblies', 'score': 0.37978559732437134, 'segment': 'Manufacturing Components and Supplies', 'family': 'Fabricated pipe assemblies', 'class': 'Riveted pipe assemblies', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40172702, 'commodity_name': 'Carbon steel pipe cross', 'score': 0.3324328064918518, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe crosses', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40171603, 'commodity_name': 'Industrial ductile iron pipe', 'score': 0.30762821435928345, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Industrial pipe and piping', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40171602, 'commodity_name': 'Industrial seamless carbon steel pipe', 'score': 0.30689138174057007, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Industrial pipe and piping', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40171601, 'commodity_name': 'Industrial welded carbon steel pipe', 'score': 0.3057847023010254, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Industrial pipe and piping', 'in_hierarchy': True}]",Chimney
25,USA 1 x 2 Schedule 40 Black Iron Pipe Nipple TBE,"[{'rank': 1, 'commodity_code': 40173311, 'commodity_name': 'Black iron pipe nipple', 'score': 1.2100000381469727, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 40173310, 'commodity_name': 'Ductile iron pipe nipple', 'score': 0.9599519371986389, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 40173309, 'commodity_name': 'Galvanized iron pipe nipple', 'score': 0.9027723670005798, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 40173303, 'commodity_name': 'Stainless steel pipe nipple', 'score': 0.7168236374855042, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40173302, 'commodity_name': 'Carbon steel pipe nipple', 'score': 0.6933417916297913, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40173306, 'commodity_name': 'ABS plastic pipe nipple', 'score': 0.6709575653076172, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40173307, 'commodity_name': 'HDPE plastic pipe nipple', 'score': 0.6549428701400757, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40173305, 'commodity_name': 'CPVC plastic pipe nipple', 'score': 0.6501471996307373, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40173308, 'commodity_name': 'Copper pipe nipple', 'score': 0.6209367513656616, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40173301, 'commodity_name': 'Brass pipe nipple', 'score': 0.5909639000892639, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe nipples', 'in_hierarchy': True}]",Black iron pipe nipple
26,1156 LAMP BAYONET 12.3 WAT 1156,"[{'rank': 1, 'commodity_code': 39111532, 'commodity_name': 'Fluorescent high bay fixture', 'score': 0.5472455024719238, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lighting Fixtures and Accessories', 'class': 'Interior lighting fixtures and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 39101615, 'commodity_name': 'Mercury vapor lamp HID', 'score': 0.4238206744194031, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamps and lightbulbs', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 39101614, 'commodity_name': 'Metal halide lamp HID', 'score': 0.4205687940120697, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamps and lightbulbs', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 39101626, 'commodity_name': 'Krypton lamp', 'score': 0.406415730714798, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamps and lightbulbs', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 39101806, 'commodity_name': 'High pressure sodium lamp dry capacitor', 'score': 0.3823774456977844, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamp components and accessories', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 39101617, 'commodity_name': 'High pressure sodium lamp HID', 'score': 0.3747263550758362, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamps and lightbulbs', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 39111815, 'commodity_name': 'Lamp and lamp fixture guard', 'score': 0.3738018572330475, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lighting Fixtures and Accessories', 'class': 'Lighting accessories', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 39101621, 'commodity_name': 'Low pressure sodium lamp HID', 'score': 0.34871283173561096, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lamps and lightbulbs and lamp components', 'class': 'Lamps and lightbulbs', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 76122315, 'commodity_name': 'Recycling of lamp ballasts', 'score': 0.34400326013565063, 'segment': 'Industrial Cleaning Services', 'family': 'Refuse disposal and treatment', 'class': 'Recycling services', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 39111810, 'commodity_name': 'Lamp starter', 'score': 0.24576778709888458, 'segment': 'Electrical Systems and Lighting and Components and Accessories and Supplies', 'family': 'Lighting Fixtures and Accessories', 'class': 'Lighting accessories', 'in_hierarchy': True}]",Miniature lamp
27,4 x 4 x 2 ABS DWV 45 Degree Reducing Wye H x H x H,"[{'rank': 1, 'commodity_code': 12141902, 'commodity_name': 'Hydrogen H', 'score': 0.8245514631271362, 'segment': 'Chemicals including Bio Chemicals and Gas Materials', 'family': 'Elements and gases', 'class': 'Non metals and pure and elemental gases', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 51285101, 'commodity_name': 'Amoxicillin/clarithromycin/lansoprazole', 'score': 0.6092576384544373, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antibacterials', 'class': 'Combination H. pylori agents', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 85121808, 'commodity_name': 'X ray laboratory services', 'score': 0.6064461469650269, 'segment': 'Healthcare Services', 'family': 'Medical practice', 'class': 'Medical laboratories', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 51285103, 'commodity_name': 'Bismuth/metronidazole/tetracycline', 'score': 0.5948725938796997, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antibacterials', 'class': 'Combination H. pylori agents', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 25171723, 'commodity_name': 'Antilock braking system ABS', 'score': 0.5836685299873352, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Braking systems and components', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 51285102, 'commodity_name': 'Bismuth subsalicylate/metronidazole/tetracycline', 'score': 0.5830464363098145, 'segment': 'Drugs and Pharmaceutical Products', 'family': 'Antibacterials', 'class': 'Combination H. pylori agents', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 40173709, 'commodity_name': 'ABS plastic pipe reducing flange', 'score': 0.5700199604034424, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe reducing flanges', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 40175210, 'commodity_name': 'ABS plastic pipe wye', 'score': 0.5542305111885071, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe wyes', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 25171724, 'commodity_name': 'Antilock braking system ABS coil', 'score': 0.520289421081543, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Braking systems and components', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 31171538, 'commodity_name': 'Four point bearing', 'score': 0.3583522140979767, 'segment': 'Manufacturing Components and Supplies', 'family': 'Bearings and bushings and wheels and gears', 'class': 'Bearings', 'in_hierarchy': True}]",ABS plastic pipe wye
28,"HEIL R4A4S24AKANA 2.0 TON R-410A SINGLE-STAGE AIR CONDITIONER UP TO 16.0 SEER2 208/230/1 25-3/4""SQ. <<<<<<<<<<< NORTH ONLY >>>>>>>>>>>","[{'rank': 1, 'commodity_code': 40101717, 'commodity_name': 'Air conditioner power saver', 'score': 0.9583615064620972, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Cooling equipment and parts and accessories', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 46131503, 'commodity_name': 'Single stage rockets', 'score': 0.9436051249504089, 'segment': 'Defense and Law Enforcement and Security and Safety Equipment and Supplies', 'family': 'Rockets and subsystems', 'class': 'Launch vehicles and rockets', 'in_hierarchy': False}, {'rank': 3, 'commodity_code': 25172709, 'commodity_name': 'Vehicle air conditioner', 'score': 0.9337612390518188, 'segment': 'Commercial and Military and Private Vehicles and their Accessories and Components', 'family': 'Transportation components and systems', 'class': 'Environmental control systems', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 40101706, 'commodity_name': 'Air conditioner shutters', 'score': 0.8150769472122192, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Cooling equipment and parts and accessories', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 40101701, 'commodity_name': 'Air conditioners', 'score': 0.6073731184005737, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Cooling equipment and parts and accessories', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 40101502, 'commodity_name': 'Air exhausters', 'score': 0.39028340578079224, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Ventilation', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 40101602, 'commodity_name': 'Air circulators', 'score': 0.3826443552970886, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Air circulation and parts and accessories', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 40101601, 'commodity_name': 'Blowers', 'score': 0.3328379988670349, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Air circulation and parts and accessories', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 40151572, 'commodity_name': 'Air lift pump', 'score': 0.3280962109565735, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Industrial pumps and compressors', 'class': 'Pumps', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 40101501, 'commodity_name': 'Air collectors', 'score': 0.28354477882385254, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Heating and ventilation and air circulation', 'class': 'Ventilation', 'in_hierarchy': True}]",Air conditioners
29,Merit 1/2 150# 316/316L Stainless Steel 90 Degree Elbow FPT x FPT,"[{'rank': 1, 'commodity_code': 11171603, 'commodity_name': 'Stainless steel alloy 316', 'score': 0.7018882632255554, 'segment': 'Mineral and Textile and Inedible Plant and Animal Materials', 'family': 'Alloys', 'class': 'Stainless steel alloys', 'in_hierarchy': False}, {'rank': 2, 'commodity_code': 40172807, 'commodity_name': 'Stainless steel pipe elbow', 'score': 0.6312061548233032, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe elbows', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 11171602, 'commodity_name': 'Stainless steel alloy 304l', 'score': 0.5817217826843262, 'segment': 'Mineral and Textile and Inedible Plant and Animal Materials', 'family': 'Alloys', 'class': 'Stainless steel alloys', 'in_hierarchy': False}, {'rank': 4, 'commodity_code': 11171601, 'commodity_name': 'Stainless steel alloy 304', 'score': 0.2646426558494568, 'segment': 'Mineral and Textile and Inedible Plant and Animal Materials', 'family': 'Alloys', 'class': 'Stainless steel alloys', 'in_hierarchy': False}, {'rank': 5, 'commodity_code': 40172805, 'commodity_name': 'Forged steel pipe elbow', 'score': 0.195516437292099, 'segment': 'Distribution and Conditioning Systems and Equipment and Components', 'family': 'Pipe piping and pipe fittings', 'class': 'Pipe elbows', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 30264703, 'commodity_name': 'Stainless steel SAE 200 series cold rolled coil', 'score': 0.18568140268325806, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 7, 'commodity_code': 30264702, 'commodity_name': 'Stainless steel SAE 400 series hot rolled coil', 'score': 0.17949236929416656, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 8, 'commodity_code': 30264704, 'commodity_name': 'Stainless steel SAE 300 series cold rolled coil', 'score': 0.17915906012058258, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 9, 'commodity_code': 30264701, 'commodity_name': 'Stainless steel SAE 300 series hot rolled coil', 'score': 0.17809225618839264, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel coil', 'in_hierarchy': False}, {'rank': 10, 'commodity_code': 30264503, 'commodity_name': 'Stainless steel SAE 400 series cold drawn bar', 'score': 0.16980573534965515, 'segment': 'Structures and Building and Construction and Manufacturing Components and Supplies', 'family': 'Structural materials', 'class': 'Stainless steel bars', 'in_hierarchy': False}]",Stainless steel pipe elbow
30,PASCO 4567 CLEAN OUT WRENCH,"[{'rank': 1, 'commodity_code': 27111752, 'commodity_name': 'Obstruction wrench', 'score': 1.1192429065704346, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 2, 'commodity_code': 27111730, 'commodity_name': 'Double ended swivel wrench', 'score': 0.8807441592216492, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 3, 'commodity_code': 27111757, 'commodity_name': 'Slugging wrench', 'score': 0.8054844737052917, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 4, 'commodity_code': 27111750, 'commodity_name': 'Mole wrench', 'score': 0.7346661686897278, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 5, 'commodity_code': 27111754, 'commodity_name': 'S wrench', 'score': 0.7226712703704834, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 6, 'commodity_code': 27111748, 'commodity_name': 'Footprint wrench', 'score': 0.7223485112190247, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 7, 'commodity_code': 27111763, 'commodity_name': 'Allen wrench', 'score': 0.7144185304641724, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 8, 'commodity_code': 27111729, 'commodity_name': 'Wrench set', 'score': 0.6782644987106323, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 9, 'commodity_code': 27111759, 'commodity_name': 'Blade wrench', 'score': 0.6766541004180908, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}, {'rank': 10, 'commodity_code': 27111761, 'commodity_name': 'Water pump wrench', 'score': 0.6760668754577637, 'segment': 'Tools and General Machinery', 'family': 'Hand tools', 'class': 'Wrenches and drivers', 'in_hierarchy': True}]",Pipe wrench or stillson wrench
